,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
6,Houston Rockets*,82,241.5,36.5,82.1,.444,5.7,15.8,.357,30.8,66.3,.465,15.8,21.1,.749,10.6,29.3,39.9,19.8,7.2,5.3,12.3,20.6,94.4,2009
7,Detroit Pistons*,82,242.7,35.1,77.8,.451,5.3,15.0,.354,29.8,62.8,.474,19.3,24.9,.775,10.5,29.9,40.4,20.1,5.6,4.2,11.8,19.7,94.7,2009
8,Charlotte Bobcats,82,243.0,35.2,77.4,.454,6.8,18.6,.366,28.4,58.8,.482,17.8,23.5,.756,10.7,28.2,38.9,19.6,7.6,6.0,14.7,20.9,94.9,2009
9,Atlanta Hawks*,82,240.3,36.6,80.6,.454,6.4,18.2,.353,30.2,62.4,.484,16.9,22.0,.769,11.6,30.3,41.9,20.8,6.5,4.3,13.7,20.5,96.5,2009
10,Philadelphia 76ers*,82,240.9,36.5,79.1,.462,7.1,19.5,.367,29.4,59.7,.493,17.1,21.9,.782,11.4,27.9,39.3,21.9,7.0,4.9,15.6,21.8,97.3,2009
11,Miami Heat*,82,243.4,35.6,78.2,.455,7.2,18.5,.389,28.4,59.7,.476,19.6,25.4,.771,10.9,30.9,41.9,20.1,6.4,4.1,15.2,19.9,98.0,2009
12,Los Angeles Lakers*,82,241.2,37.2,83.2,.447,7.1,20.7,.345,30.0,62.5,.481,17.7,23.5,.753,11.7,29.8,41.5,22.6,7.7,4.8,15.5,22.1,99.3,2009
13,Memphis Grizzlies,82,241.5,36.8,77.8,.473,6.5,18.4,.355,30.3,59.4,.510,19.2,24.9,.770,10.3,29.6,39.9,21.2,7.7,5.4,14.6,21.8,99.3,2009
14,Dallas Mavericks*,82,241.5,37.5,82.3,.455,6.3,16.8,.375,31.1,65.5,.475,18.6,23.3,.798,10.8,30.6,41.4,19.6,7.2,4.1,13.0,20.1,99.8,2009
15,,,,,,,,,,,,,,,,,,,,,,,,,2009
16,Milwaukee Bucks,82,241.2,34.8,76.0,.458,6.9,18.1,.378,28.0,57.9,.483,23.9,30.2,.791,10.1,30.8,41.0,21.1,7.5,4.6,16.5,22.5,100.4,2009
17,New Jersey Nets,82,241.8,36.0,77.9,.462,7.3,18.7,.391,28.7,59.1,.485,21.2,27.8,.762,10.6,30.8,41.4,21.9,6.9,4.8,13.5,20.5,100.5,2009
18,Denver Nuggets*,82,240.6,36.2,82.2,.440,7.3,20.0,.366,28.8,62.1,.464,21.2,27.2,.782,12.1,29.2,41.2,21.4,7.9,5.5,15.4,23.7,100.9,2009
19,Utah Jazz*,82,242.4,36.8,79.4,.464,6.5,18.0,.361,30.3,61.3,.494,20.8,27.2,.763,11.1,29.2,40.3,20.0,8.0,5.2,16.1,24.0,100.9,2009
20,Toronto Raptors,82,241.5,38.7,83.3,.465,7.7,20.9,.367,31.0,62.3,.498,16.8,21.5,.784,10.9,31.0,41.9,23.0,6.4,4.7,13.3,20.1,101.9,2009
21,Chicago Bulls*,82,243.0,38.3,83.7,.458,5.9,17.1,.347,32.4,66.6,.486,19.9,25.3,.786,12.4,30.4,42.8,21.0,7.6,5.5,14.4,20.8,102.5,2009
22,Minnesota Timberwolves,82,241.5,37.9,80.0,.474,6.5,17.3,.377,31.4,62.7,.500,20.3,26.2,.778,9.9,31.0,40.9,21.5,7.4,5.9,12.5,20.0,102.7,2009
23,Oklahoma City Thunder,82,241.5,39.4,82.9,.475,6.4,17.5,.364,33.0,65.4,.505,17.9,23.5,.761,10.8,30.4,41.2,21.6,8.5,5.0,13.9,20.2,103.1,2009
24,Washington Wizards,82,240.3,38.6,80.1,.482,8.2,21.2,.387,30.4,58.8,.516,18.1,23.9,.759,11.4,30.4,41.8,24.6,7.2,5.3,13.9,20.0,103.5,2009
25,Los Angeles Clippers,82,242.4,39.2,83.0,.473,6.5,17.5,.375,32.7,65.5,.499,18.9,24.8,.760,11.7,32.4,44.1,23.8,8.0,5.0,13.3,19.6,103.9,2009
26,Indiana Pacers,82,241.8,38.3,83.7,.458,6.9,18.5,.375,31.4,65.2,.481,22.6,29.6,.764,11.1,33.0,44.1,21.1,7.7,5.4,14.0,20.6,106.2,2009
27,Phoenix Suns,82,240.9,40.0,85.7,.467,7.6,19.9,.383,32.3,65.7,.492,19.9,25.7,.775,12.1,28.7,40.8,21.2,8.6,4.5,14.2,22.9,107.5,2009
28,New York Knicks,82,241.5,41.2,85.9,.480,7.0,19.8,.351,34.2,66.0,.518,18.5,24.4,.758,11.6,34.5,46.1,21.6,8.0,5.3,14.5,19.4,107.8,2009
29,Sacramento Kings,82,242.7,40.0,82.8,.483,7.1,17.4,.406,32.9,65.4,.504,22.2,29.4,.756,12.4,31.6,44.0,21.9,8.6,5.2,14.4,21.2,109.3,2009
30,Golden State Warriors,82,242.4,41.5,88.7,.468,7.1,18.7,.380,34.4,70.0,.491,22.3,28.6,.779,14.2,32.9,47.1,24.1,7.9,5.0,15.0,23.5,112.3,2009
0,Charlotte Bobcats*,82,242.4,35.7,79.7,.448,7.0,20.7,.338,28.7,59.0,.486,15.5,20.9,.743,10.6,29.0,39.6,20.3,7.5,6.1,15.3,22.0,93.8,2010
1,Miami Heat*,82,242.4,34.3,78.1,.439,6.4,18.7,.342,27.9,59.5,.469,19.2,25.5,.754,10.4,30.3,40.7,18.8,6.3,4.3,14.4,20.0,94.2,2010
2,Portland Trail Blazers*,82,242.1,36.0,77.5,.464,5.9,17.1,.343,30.1,60.4,.499,17.0,22.8,.745,9.8,28.3,38.1,19.3,5.9,4.1,13.5,21.5,94.8,2010
3,Orlando Magic*,82,240.6,36.0,82.2,.438,6.4,17.5,.363,29.7,64.7,.459,16.8,22.3,.754,9.8,30.3,40.0,18.9,6.7,3.5,12.8,22.2,95.3,2010
4,Boston Celtics*,82,241.2,35.1,77.9,.451,5.7,16.8,.342,29.4,61.2,.481,19.6,26.2,.746,10.6,29.5,40.1,19.3,7.0,4.7,15.6,21.7,95.6,2010
