,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
11,Los Angeles Clippers,1-1,0-2,0-2,2-0,2-0,0-4,2-2,2-0,3-1,3-1,0-2,,1-3,0-2,1-1,2-2,0-2,1-1,1-1,1-1,2-2,2-2,1-3,0-4,0-4,1-1,0-4,2-2,1-1,2001,31,51,.378,25.0,92.5,95.3,-2.23,2001,Los Angeles Clippers,0,,,,,,,,
12,Los Angeles Lakers,1-1,2-0,2-0,2-0,2-0,4-0,2-2,2-0,3-1,3-1,1-1,3-1,,1-1,0-2,3-1,2-0,0-2,2-0,1-1,3-1,2-2,3-1,2-2,0-4,2-0,2-2,4-0,2-0,2001,56,26,.683,—,100.6,97.2,3.74,2001,Los Angeles Lakers,1,,,,,,,,
13,Miami Heat,3-0,2-2,2-2,3-1,2-2,0-2,2-0,4-0,2-0,1-1,2-1,2-0,1-1,,1-2,1-1,3-1,2-3,3-1,1-3,0-2,1-1,1-1,1-1,1-1,2-2,1-1,2-0,4-0,2001,50,32,.610,6.0,88.9,86.6,1.73,2001,Miami Heat,1,,,,,,,,
14,Milwaukee Bucks,3-1,3-1,1-3,4-0,3-1,1-1,1-1,3-1,2-0,0-2,2-2,1-1,2-0,2-1,,0-2,4-0,1-2,4-0,2-2,0-2,0-2,2-0,2-0,0-2,3-1,2-0,1-1,3-1,2001,52,30,.634,—,100.7,96.9,3.14,2001,Milwaukee Bucks,1,,,,,,,,
15,Minnesota Timberwolves,2-0,1-1,1-1,2-0,2-0,1-3,2-2,2-0,2-2,2-2,1-1,2-2,1-3,1-1,2-0,,1-1,0-2,1-1,1-1,3-1,3-1,2-2,1-3,3-1,2-0,2-2,3-1,1-1,2001,47,35,.573,11.0,97.3,96.0,1.81,2001,Minnesota Timberwolves,1,,,,,,,,
16,New Jersey Nets,3-1,0-4,0-4,2-2,0-3,0-2,1-1,0-4,1-1,1-1,2-2,2-0,0-2,1-3,0-4,1-1,,2-2,1-3,1-3,1-1,0-2,0-2,1-1,1-1,1-2,0-2,1-1,3-1,2001,26,56,.317,30.0,92.1,97.1,-5.30,2001,New Jersey Nets,0,,,,,,,,
17,New York Knicks,2-2,3-1,2-1,3-1,2-2,1-1,1-1,2-1,2-0,0-2,2-2,1-1,2-0,3-2,2-1,2-0,2-2,,3-1,1-3,1-1,1-1,1-1,2-0,1-1,1-3,0-2,1-1,4-0,2001,48,34,.585,8.0,88.7,86.1,1.98,2001,New York Knicks,1,,,,,,,,
18,Orlando Magic,3-1,3-1,1-2,3-1,3-1,1-1,2-0,2-2,2-0,1-1,2-2,1-1,0-2,1-3,0-4,1-1,3-1,1-3,,3-1,1-1,0-2,0-2,1-1,1-1,2-1,0-2,2-0,3-1,2001,43,39,.524,13.0,97.5,96.5,0.39,2001,Orlando Magic,1,,,,,,,,
19,Philadelphia 76ers,3-0,4-0,2-2,3-1,4-0,1-1,1-1,4-0,2-0,1-1,3-0,1-1,1-1,3-1,2-2,1-1,3-1,3-1,1-3,,1-1,1-1,1-1,1-1,1-1,1-3,1-1,2-0,4-0,2001,56,26,.683,—,94.7,90.4,3.64,2001,Philadelphia 76ers,1,,,,,,,,
20,Phoenix Suns,2-0,0-2,2-0,2-0,2-0,3-1,4-0,1-1,2-2,3-1,1-1,2-2,1-3,2-0,2-0,1-3,1-1,1-1,1-1,1-1,,3-1,1-3,2-2,3-1,2-0,2-2,3-1,1-1,2001,51,31,.622,5.0,94.0,91.8,2.63,2001,Phoenix Suns,1,,,,,,,,
