,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
2,Charlotte Bobcats,3-1,0-4,,0-4,0-4,0-2,1-1,2-1,0-2,2-0,0-3,0-2,0-2,1-3,0-4,1-1,0-4,1-3,3-1,0-3,0-2,0-2,1-1,0-2,0-2,1-2,1-1,,0-4,2005,18,64,.220,41.0,94.3,100.2,-6.15,2005,Charlotte Bobcats,0,0-2,1-1,,,,,,
3,Chicago Bulls,4-0,2-2,,,2-2,1-1,1-1,2-2,1-1,0-2,2-2,0-2,1-1,1-3,2-2,2-0,0-4,4-0,3-0,2-1,0-2,2-0,1-1,0-2,1-1,3-0,2-0,,1-2,2005,47,35,.573,7.0,94.5,93.4,0.65,2005,Chicago Bulls,1,2-0,1-1,4-0,,,,,
4,Cleveland Cavaliers,4-0,2-1,,2-2,,1-1,1-1,2-2,2-0,0-2,1-3,1-1,1-1,0-3,2-2,1-1,1-3,1-3,3-1,0-3,1-1,2-0,0-2,0-2,0-2,3-1,2-0,,1-2,2005,42,40,.512,12.0,96.5,95.7,0.27,2005,Cleveland Cavaliers,0,2-0,2-0,4-0,,,,,
5,Dallas Mavericks,1-1,2-0,,1-1,1-1,,2-1,1-1,3-1,2-2,1-1,1-2,2-2,2-0,2-0,2-2,2-0,2-0,1-1,1-1,1-2,4-0,3-1,1-3,3-1,2-0,3-0,,2-0,2005,58,24,.707,1.0,102.5,96.8,5.86,2005,Dallas Mavericks,1,4-0,4-0,2-0,,,,,
6,Denver Nuggets,2-0,2-0,,1-1,1-1,1-2,,1-1,2-2,1-2,2-0,2-1,2-2,1-1,2-0,2-2,1-1,1-1,1-1,1-1,0-4,3-1,1-2,2-2,2-2,2-0,2-2,,2-0,2005,49,33,.598,3.0,99.5,97.5,2.23,2005,Denver Nuggets,1,4-0,4-0,1-1,,,,,
7,Detroit Pistons,3-1,3-1,,2-2,2-2,1-1,1-1,,2-0,2-0,2-2,2-0,2-0,2-1,2-2,1-1,2-1,3-0,3-1,3-1,1-1,1-1,1-1,1-1,1-1,3-1,1-1,,4-0,2005,54,28,.659,—,93.3,89.5,3.31,2005,Detroit Pistons,1,0-2,2-0,1-2,,,,,
8,Golden State Warriors,2-0,1-1,,1-1,0-2,1-3,2-2,0-2,,1-2,1-1,0-4,1-3,0-2,2-0,1-2,0-2,1-1,1-1,1-1,2-2,2-2,3-1,0-3,2-2,1-1,2-1,,1-1,2005,34,48,.415,28.0,98.7,100.9,-1.74,2005,Golden State Warriors,0,1-3,2-2,2-0,,,,,
9,Houston Rockets,1-1,1-1,,2-0,2-0,2-2,2-1,0-2,2-1,,1-1,3-0,2-2,1-1,1-1,1-2,2-0,1-1,2-0,2-0,2-2,4-0,2-2,2-2,3-1,1-1,2-2,,1-1,2005,51,31,.622,8.0,95.1,91.0,4.27,2005,Houston Rockets,1,3-1,3-1,0-2,,,,,
10,Indiana Pacers,3-0,2-1,,2-2,3-1,1-1,0-2,2-2,1-1,1-1,,0-2,1-1,3-1,2-2,2-0,2-2,2-2,1-3,0-4,1-1,2-0,0-2,1-1,0-2,2-1,2-0,,2-2,2005,44,38,.537,10.0,93.0,92.2,0.49,2005,Indiana Pacers,1,2-0,1-1,3-0,,,,,
11,Los Angeles Clippers,2-0,0-2,,2-0,1-1,2-1,1-2,0-2,4-0,0-3,2-0,,2-2,1-1,1-1,1-3,1-1,1-1,1-1,1-1,0-4,2-2,0-4,0-4,2-1,1-1,2-2,,1-1,2005,37,45,.451,25.0,95.7,96.5,-0.47,2005,Los Angeles Clippers,0,1-3,3-1,2-0,,,,,
12,Los Angeles Lakers,1-1,1-1,,1-1,1-1,2-2,2-2,0-2,3-1,2-2,1-1,2-2,,0-2,2-0,2-1,1-1,1-1,1-1,0-2,0-4,2-1,1-3,0-4,1-3,1-1,1-3,,0-2,2005,34,48,.415,28.0,98.7,101.7,-2.32,2005,Los Angeles Lakers,0,0-3,3-0,2-0,,,,,
13,Memphis Grizzlies,2-0,1-1,,0-2,0-2,0-4,0-4,2-0,3-1,1-3,0-2,3-1,3-0,1-1,2-0,3-1,2-0,1-1,1-1,2-0,2-2,3-1,0-3,3-1,0-3,2-0,3-0,,0-2,2005,45,37,.549,14.0,93.4,91.1,2.64,2005,Memphis Grizzlies,1,,3-1,2-0,,,,,
14,Miami Heat,4-0,2-1,,3-1,3-0,0-2,1-1,1-2,2-0,1-1,1-3,1-1,2-0,,4-0,1-1,3-0,4-0,4-0,2-2,1-1,1-1,2-0,1-1,0-2,3-1,2-0,,4-0,2005,59,23,.720,—,101.5,95.0,5.77,2005,Miami Heat,1,1-1,2-0,3-1,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,
16,Milwaukee Bucks,2-1,1-3,,2-2,2-2,0-2,0-2,2-2,0-2,1-1,2-2,1-1,0-2,0-4,,1-1,2-1,2-1,2-1,0-4,0-2,0-2,0-2,0-2,1-1,2-2,1-1,,1-3,2005,30,52,.366,24.0,97.2,100.2,-3.09,2005,Milwaukee Bucks,0,0-2,1-1,4-0,,,,,
17,Minnesota Timberwolves,1-1,1-1,,0-2,1-1,2-2,2-2,1-1,2-1,2-1,0-2,3-1,1-2,1-1,1-1,,2-0,1-1,1-1,2-0,1-3,4-0,3-1,1-2,1-3,0-2,3-1,,1-1,2005,44,38,.537,8.0,96.8,95.3,1.73,2005,Minnesota Timberwolves,0,1-3,4-0,1-1,,,,,
18,New Jersey Nets,3-0,3-1,,4-0,3-1,0-2,1-1,1-2,2-0,0-2,2-2,1-1,1-1,0-3,1-2,0-2,,3-1,1-3,3-1,0-2,1-1,1-1,0-2,0-2,2-2,2-0,,1-3,2005,42,40,.512,3.0,91.4,92.9,-1.82,2005,New Jersey Nets,1,0-2,2-0,4-0,,,,,
19,New Orleans Hornets,1-1,0-2,,1-1,0-2,0-4,0-4,0-2,2-2,1-3,1-1,1-3,0-3,0-2,1-1,0-4,0-2,1-1,0-2,1-1,0-4,2-1,1-2,0-4,0-3,0-2,2-2,,1-1,2005,18,64,.220,41.0,88.4,95.5,-6.30,2005,New Orleans Hornets,0,1-3,,1-1,,,,,
20,New York Knicks,3-1,1-3,,0-4,3-1,0-2,1-1,0-3,1-1,1-1,2-2,1-1,1-1,0-4,1-2,1-1,1-3,,1-2,3-1,0-2,1-1,0-2,1-1,0-2,1-3,2-0,,2-1,2005,33,49,.402,12.0,97.3,99.7,-2.72,2005,New York Knicks,0,1-1,1-1,3-1,,,,,
21,Orlando Magic,3-1,0-3,,0-3,1-3,1-1,1-1,1-3,1-1,0-2,3-1,1-1,1-1,0-4,1-2,1-1,3-1,2-1,,2-2,0-2,1-1,1-1,1-1,1-1,2-2,2-0,,2-2,2005,36,46,.439,23.0,99.5,101.8,-2.52,2005,Orlando Magic,0,1-1,2-0,1-3,,,,,
22,Philadelphia 76ers,3-1,3-1,,1-2,3-0,1-1,1-1,1-3,1-1,0-2,4-0,1-1,2-0,2-2,4-0,0-2,1-3,1-3,2-2,,0-2,1-1,0-2,0-2,1-1,3-1,1-1,,2-1,2005,43,39,.524,2.0,99.1,99.9,-1.07,2005,Philadelphia 76ers,1,0-2,1-1,3-0,,,,,
23,Phoenix Suns,2-0,1-1,,2-0,1-1,2-1,4-0,1-1,2-2,2-2,1-1,4-0,4-0,1-1,2-0,3-1,2-0,2-0,2-0,2-0,,3-0,2-2,1-2,2-1,2-0,3-1,,1-1,2005,62,20,.756,—,110.4,103.3,7.08,2005,Phoenix Suns,1,2-2,4-0,2-0,,,,,
24,Portland Trail Blazers,2-0,1-1,,0-2,0-2,0-4,1-3,1-1,2-2,0-4,0-2,2-2,1-2,1-1,2-0,0-4,1-1,1-1,1-1,1-1,0-3,,1-3,1-2,1-3,1-1,2-2,,0-2,2005,27,55,.329,25.0,92.9,96.9,-3.45,2005,Portland Trail Blazers,0,1-3,1-2,2-0,,,,,
25,Sacramento Kings,2-0,2-0,,1-1,2-0,1-3,2-1,1-1,1-3,2-2,2-0,4-0,3-1,0-2,2-0,1-3,1-1,2-0,1-1,2-0,2-2,3-1,,1-3,1-3,1-1,2-1,,2-0,2005,50,32,.610,12.0,103.7,101.6,2.56,2005,Sacramento Kings,1,3-0,2-1,1-1,,,,,
26,San Antonio Spurs,2-0,2-0,,2-0,2-0,3-1,2-2,1-1,3-0,2-2,1-1,4-0,4-0,1-1,2-0,2-1,2-0,1-1,1-1,2-0,2-1,2-1,3-1,,2-2,1-1,2-2,,1-1,2005,59,23,.720,—,96.2,88.4,7.84,2005,San Antonio Spurs,1,1-3,4-0,2-0,,,,,
27,Seattle SuperSonics,2-0,0-2,,1-1,2-0,1-3,2-2,1-1,2-2,1-3,2-0,1-2,3-1,2-0,1-1,3-1,2-0,2-0,1-1,1-1,1-2,3-1,3-1,2-2,,2-0,3-1,,0-2,2005,52,30,.634,—,98.9,96.6,2.59,2005,Seattle SuperSonics,1,3-0,3-0,2-0,,,,,
28,Toronto Raptors,2-1,1-3,,0-3,1-3,0-2,0-2,1-3,1-1,1-1,1-2,1-1,1-1,1-3,2-2,2-0,2-2,3-1,2-2,1-3,0-2,1-1,1-1,1-1,0-2,,2-0,,1-3,2005,33,49,.402,12.0,99.7,101.4,-1.81,2005,Toronto Raptors,0,0-2,2-0,2-1,,,,,
29,Utah Jazz,2-0,0-2,,0-2,0-2,0-3,2-2,1-1,1-2,2-2,0-2,2-2,3-1,0-2,1-1,1-3,0-2,0-2,0-2,1-1,1-3,2-2,1-2,2-2,1-3,0-2,,,0-2,2005,26,56,.317,26.0,93.0,97.3,-3.74,2005,Utah Jazz,0,0-3,2-2,1-1,,,,,
30,Washington Wizards,4-0,1-3,,2-1,2-1,0-2,0-2,0-4,1-1,1-1,2-2,1-1,2-0,0-4,3-1,1-1,3-1,1-2,2-2,1-2,1-1,2-0,0-2,1-1,2-0,3-1,2-0,,,2005,45,37,.549,14.0,100.5,100.8,-0.71,2005,Washington Wizards,1,2-0,1-1,4-0,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,2-1,,0-3,1-2,0-2,1-1,1-3,1-1,1-1,4-0,0-2,1-1,1-3,1-3,1-1,1-3,2-2,2-2,1-2,0-2,0-2,0-2,1-1,0-2,1-3,0-2,,1-3,2006,26,56,.317,26.0,97.2,102.0,-4.69,2006,Atlanta Hawks,0,0-2,,1-3,1-1,,,,
1,Boston Celtics,1-2,,,0-4,0-4,0-2,1-1,0-3,1-1,1-1,3-1,1-1,1-1,1-3,0-3,1-1,1-3,3-1,1-3,3-1,0-2,2-0,1-1,0-2,0-2,3-1,2-0,,1-3,2006,33,49,.402,16.0,98.0,99.5,-1.59,2006,Boston Celtics,0,1-1,,2-1,2-0,,,,
2,Charlotte Bobcats,3-1,1-2,,2-2,0-3,0-2,0-2,0-4,1-1,1-1,2-2,0-2,1-1,0-4,0-3,1-1,1-3,3-0,1-3,3-1,0-2,1-1,1-1,0-2,1-1,1-3,1-1,,1-3,2006,26,56,.317,26.0,96.9,100.9,-3.90,2006,Charlotte Bobcats,0,0-2,,,0-2,,,,
3,Chicago Bulls,3-0,4-0,,,0-4,0-2,1-1,0-4,1-1,1-1,2-2,1-1,1-1,1-2,2-2,1-1,2-1,2-1,3-1,2-2,0-2,1-1,0-2,1-1,0-2,4-0,1-1,,3-1,2006,41,41,.500,23.0,97.8,97.2,0.51,2006,Chicago Bulls,1,1-1,,2-2,1-1,,,,
4,Cleveland Cavaliers,2-1,4-0,,4-0,,1-1,1-1,1-3,0-2,1-1,3-1,1-1,1-1,2-2,3-1,1-1,2-2,1-2,3-1,2-2,1-1,1-1,1-1,1-1,1-1,3-0,2-0,,1-3,2006,50,32,.610,14.0,97.6,95.4,2.17,2006,Cleveland Cavaliers,1,1-1,,3-0,2-0,,,,
5,Dallas Mavericks,2-0,2-0,,2-0,1-1,,3-1,1-1,1-3,4-0,2-0,3-1,1-2,2-0,1-1,2-1,1-1,1-1,1-1,1-1,2-2,4-0,2-1,2-2,3-0,2-0,3-1,,2-0,2006,60,22,.732,3.0,99.1,93.1,5.96,2006,Dallas Mavericks,1,3-1,,2-0,4-0,,,,
6,Denver Nuggets,1-1,1-1,,1-1,1-1,1-3,,1-1,2-1,2-2,2-0,1-3,1-2,2-0,1-1,3-1,0-2,2-0,1-1,1-1,1-3,4-0,1-3,2-2,2-2,2-0,1-3,,1-1,2006,44,38,.537,—,100.3,100.1,0.36,2006,Denver Nuggets,1,2-1,,2-0,2-1,,,,
7,Detroit Pistons,3-1,3-0,,4-0,3-1,1-1,1-1,,2-0,2-0,3-1,2-0,1-1,3-1,3-1,2-0,2-2,3-1,2-1,3-0,2-0,2-0,2-0,2-0,2-0,3-1,0-2,,0-3,2006,64,18,.780,—,96.8,90.2,6.24,2006,Detroit Pistons,1,2-0,,4-0,2-0,,,,
8,Golden State Warriors,1-1,1-1,,1-1,2-0,3-1,1-2,0-2,,1-3,0-2,1-3,0-4,1-1,1-1,2-2,1-1,2-0,1-1,1-1,1-3,4-0,2-2,0-4,2-1,2-0,1-3,,0-2,2006,34,48,.415,20.0,98.5,99.8,-1.11,2006,Golden State Warriors,0,0-3,,1-1,1-2,,,,
9,Houston Rockets,1-1,1-1,,1-1,1-1,0-4,2-2,0-2,3-1,,1-1,2-2,1-2,0-2,2-0,2-2,1-1,2-0,1-1,1-1,0-3,2-1,2-2,0-4,3-1,0-2,1-2,,2-0,2006,34,48,.415,29.0,90.1,91.7,-1.30,2006,Houston Rockets,0,0-4,,1-1,1-3,,,,
10,Indiana Pacers,0-4,1-3,,2-2,1-3,0-2,0-2,1-3,2-0,1-1,,2-0,1-1,2-1,2-2,1-1,2-1,2-2,3-0,2-1,0-2,2-0,2-0,0-2,1-1,2-2,2-0,,2-2,2006,41,41,.500,23.0,93.9,92.0,1.62,2006,Indiana Pacers,1,1-1,,2-2,2-0,,,,
11,Los Angeles Clippers,2-0,1-1,,1-1,1-1,1-3,3-1,0-2,3-1,2-2,0-2,,2-2,1-1,2-0,3-1,1-1,2-0,2-0,1-1,2-2,3-0,0-4,1-2,3-1,2-0,2-1,,2-0,2006,47,35,.573,7.0,97.2,95.6,1.75,2006,Los Angeles Clippers,1,1-3,,2-0,1-2,,,,
12,Los Angeles Lakers,1-1,1-1,,1-1,1-1,2-1,2-1,1-1,4-0,2-1,1-1,2-2,,1-1,2-0,1-3,0-2,2-0,2-0,1-1,1-3,2-2,2-2,1-3,2-1,2-0,2-2,,1-1,2006,45,37,.549,9.0,99.4,96.9,2.53,2006,Los Angeles Lakers,1,1-3,,1-1,3-1,,,,
13,Memphis Grizzlies,2-0,1-1,,1-1,1-1,1-3,1-2,0-2,3-0,4-0,1-1,3-1,3-1,0-2,1-1,3-1,1-1,2-0,2-0,0-2,2-1,2-1,2-2,0-4,3-1,2-0,3-1,,2-0,2006,49,33,.598,14.0,92.2,88.5,3.74,2006,Memphis Grizzlies,1,,,2-0,1-3,,,,
14,Miami Heat,3-1,3-1,,2-1,2-2,0-2,0-2,1-3,1-1,2-0,1-2,1-1,1-1,,3-1,1-1,1-3,3-0,2-2,3-0,0-2,2-0,2-0,0-2,2-0,3-1,2-0,,4-0,2006,52,30,.634,—,99.9,96.0,3.59,2006,Miami Heat,1,2-0,,4-0,1-1,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,
16,Milwaukee Bucks,3-1,3-0,,2-2,1-3,1-1,1-1,1-3,1-1,0-2,2-2,0-2,0-2,1-3,,1-1,1-3,3-1,2-2,3-1,1-1,2-0,0-2,1-1,1-1,2-1,0-2,,2-1,2006,40,42,.488,24.0,97.8,98.8,-1.07,2006,Milwaukee Bucks,1,1-1,,3-0,1-1,,,,
17,Minnesota Timberwolves,1-1,1-1,,1-1,1-1,1-2,1-3,0-2,2-2,2-2,1-1,1-3,3-1,1-1,1-1,,1-1,2-0,1-1,0-2,1-2,2-2,2-1,0-4,2-2,0-2,1-3,,1-1,2006,33,49,.402,11.0,91.7,93.6,-1.75,2006,Minnesota Timberwolves,0,1-3,,1-1,1-2,,,,
18,New Jersey Nets,3-1,3-1,,1-2,2-2,1-1,2-0,2-2,1-1,1-1,1-2,1-1,2-0,3-1,3-1,1-1,,3-1,3-0,1-3,1-1,1-1,0-2,0-2,1-1,3-1,1-1,,2-1,2006,49,33,.598,—,93.8,92.4,1.11,2006,New Jersey Nets,1,1-1,,3-1,2-0,,,,
19,New Orleans/Oklahoma City Hornets,1-1,0-2,,1-1,0-2,0-4,1-2,0-2,2-1,3-1,0-2,2-1,1-3,1-1,1-1,2-1,0-2,2-0,1-1,1-1,1-3,3-1,2-2,1-3,3-1,2-0,1-3,,1-1,2006,38,44,.463,25.0,92.8,95.6,-2.51,2006,New Orleans/Oklahoma City Hornets,0,3-1,,2-0,,,,,
20,New York Knicks,2-2,1-3,,1-2,2-1,1-1,0-2,1-3,0-2,0-2,2-2,0-2,0-2,0-3,1-3,0-2,1-3,,1-3,1-3,1-1,1-1,1-1,0-2,2-0,1-3,2-0,,1-3,2006,23,59,.280,26.0,95.6,102.0,-6.30,2006,New York Knicks,0,0-2,,0-3,0-2,,,,
21,Orlando Magic,2-2,3-1,,1-3,1-3,1-1,1-1,1-2,1-1,1-1,0-3,0-2,0-2,2-2,2-2,1-1,0-3,3-1,,3-1,1-1,1-1,1-1,1-1,1-1,1-2,1-1,,2-2,2006,36,46,.439,16.0,94.9,96.0,-1.26,2006,Orlando Magic,0,0-2,,3-1,1-1,,,,
22,Philadelphia 76ers,2-1,1-3,,2-2,2-2,1-1,1-1,0-3,1-1,1-1,1-2,1-1,1-1,0-3,1-3,2-0,3-1,3-1,1-3,,0-2,1-1,2-0,1-1,1-1,3-1,0-2,,2-2,2006,38,44,.463,11.0,99.4,101.3,-2.10,2006,Philadelphia 76ers,0,2-0,,1-3,1-1,,,,
23,Phoenix Suns,2-0,2-0,,2-0,1-1,2-2,3-1,0-2,3-1,3-0,2-0,2-2,3-1,2-0,1-1,2-1,1-1,1-1,1-1,2-0,,3-1,2-2,1-3,2-2,2-0,2-1,,1-1,2006,54,28,.659,—,108.4,102.8,5.48,2006,Phoenix Suns,1,1-2,,2-0,3-1,,,,
24,Portland Trail Blazers,2-0,0-2,,1-1,1-1,0-4,0-4,0-2,0-4,1-2,0-2,0-3,2-2,0-2,0-2,2-2,1-1,1-1,1-1,1-1,1-3,,1-2,0-4,1-3,1-1,0-4,,1-1,2006,21,61,.256,23.0,88.8,98.3,-8.91,2006,Portland Trail Blazers,0,1-2,,1-1,1-3,,,,
25,Sacramento Kings,2-0,1-1,,2-0,1-1,1-2,3-1,0-2,2-2,2-2,0-2,4-0,2-2,0-2,2-0,1-2,2-0,1-1,1-1,0-2,2-2,2-1,,1-2,3-1,1-1,3-1,,0-2,2006,44,38,.537,10.0,98.9,97.3,1.61,2006,Sacramento Kings,1,2-2,,1-1,2-2,,,,
26,San Antonio Spurs,1-1,2-0,,1-1,1-1,2-2,2-2,0-2,4-0,4-0,2-0,2-1,3-1,2-0,1-1,4-0,2-0,2-0,1-1,1-1,3-1,4-0,2-1,,2-1,2-0,3-0,,1-1,2006,63,19,.768,—,95.6,88.8,6.69,2006,San Antonio Spurs,1,4-0,,2-0,3-1,,,,
27,Seattle SuperSonics,2-0,2-0,,2-0,1-1,0-3,2-2,0-2,1-2,1-3,1-1,1-3,1-2,0-2,1-1,2-2,1-1,0-2,1-1,1-1,2-2,3-1,1-3,1-2,,1-1,3-1,,1-1,2006,35,47,.427,9.0,102.6,105.6,-2.88,2006,Seattle SuperSonics,0,1-3,,1-1,1-3,,,,
28,Toronto Raptors,3-1,1-3,,0-4,0-3,0-2,0-2,1-3,0-2,2-0,2-2,0-2,0-2,1-3,1-2,2-0,1-3,3-1,2-1,1-3,0-2,1-1,1-1,0-2,1-1,,0-2,,1-2,2006,27,55,.329,22.0,101.1,104.0,-3.03,2006,Toronto Raptors,0,0-2,,3-1,0-2,,,,
29,Utah Jazz,2-0,0-2,,1-1,0-2,1-3,3-1,2-0,3-1,2-1,0-2,1-2,2-2,0-2,2-0,3-1,1-1,0-2,1-1,2-0,1-2,4-0,1-3,0-3,1-3,2-0,,,1-1,2006,41,41,.500,3.0,92.4,95.0,-2.49,2006,Utah Jazz,0,1-3,,1-1,3-1,,,,
30,Washington Wizards,3-1,3-1,,1-3,3-1,0-2,1-1,3-0,2-0,0-2,2-2,0-2,1-1,0-4,1-2,1-1,1-2,3-1,2-2,2-2,1-1,1-1,2-0,1-1,1-1,2-1,1-1,,,2006,42,40,.512,10.0,101.7,99.8,1.57,2006,Washington Wizards,1,0-2,,3-1,1-1,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,3-1,,0-4,1-3,0-2,1-1,1-2,2-0,1-1,1-3,2-0,0-2,0-4,1-2,2-0,1-2,1-2,3-1,1-3,1-1,1-1,1-1,0-2,0-2,2-2,0-2,,1-3,2007,30,52,.366,14.0,93.7,98.4,-4.86,2007,Atlanta Hawks,0,2-0,,1-3,0-2,,,,
1,Boston Celtics,1-3,,,0-3,1-2,0-2,1-1,0-4,0-2,1-1,1-3,0-2,0-2,1-2,2-2,1-1,2-2,3-1,1-3,1-3,0-2,2-0,0-2,1-1,1-1,1-3,0-2,,0-3,2007,24,58,.293,23.0,95.8,99.2,-3.70,2007,Boston Celtics,0,1-1,,2-2,0-2,,,,
2,Charlotte Bobcats,3-1,2-2,,1-2,2-2,0-2,1-1,2-2,1-1,0-2,1-2,0-2,2-0,2-2,2-2,1-1,1-2,2-2,2-2,2-2,0-2,0-2,1-1,1-1,0-2,0-3,1-1,,2-2,2007,33,49,.402,11.0,96.9,100.6,-3.97,2007,Charlotte Bobcats,0,0-2,,,1-1,,,,
3,Chicago Bulls,4-0,3-0,,,2-2,1-1,1-1,3-1,1-1,0-2,3-1,0-2,1-1,3-1,4-0,0-2,1-3,3-1,1-2,2-1,1-1,2-0,0-2,1-1,2-0,2-2,0-2,,3-1,2007,49,33,.598,4.0,98.8,93.8,4.52,2007,Chicago Bulls,1,1-1,,2-1,2-0,,,,
4,Cleveland Cavaliers,3-1,2-1,,2-2,,0-2,0-2,1-3,2-0,1-1,3-1,2-0,2-0,1-3,4-0,2-0,2-1,2-2,1-2,3-1,0-2,1-1,2-0,2-0,1-1,3-1,1-1,,2-1,2007,50,32,.610,3.0,96.8,92.9,3.33,2007,Cleveland Cavaliers,1,2-0,,2-2,1-1,,,,
5,Dallas Mavericks,2-0,2-0,,1-1,2-0,,3-1,1-1,0-3,3-1,2-0,2-1,3-1,2-0,2-0,4-0,2-0,2-0,2-0,2-0,2-2,3-0,4-0,3-1,4-0,2-0,1-2,,1-1,2007,67,15,.817,—,100.0,92.8,7.28,2007,Dallas Mavericks,1,4-0,,2-0,4-0,,,,
6,Denver Nuggets,1-1,1-1,,1-1,2-0,1-3,,0-2,3-1,1-2,2-0,2-1,3-1,2-0,2-0,2-2,1-1,1-1,1-1,1-1,1-2,3-1,2-2,1-2,3-1,1-1,1-3,,1-1,2007,45,37,.549,6.0,105.4,103.7,1.69,2007,Denver Nuggets,1,2-2,,1-1,2-2,,,,
7,Detroit Pistons,2-1,4-0,,1-3,3-1,1-1,2-0,,0-2,1-1,2-2,2-0,2-0,2-1,3-1,1-1,4-0,2-1,4-0,3-1,1-1,1-1,1-1,0-2,2-0,2-1,0-2,,2-2,2007,53,29,.646,—,96.0,91.8,3.69,2007,Detroit Pistons,1,2-0,,2-2,1-1,,,,
8,Golden State Warriors,0-2,2-0,,1-1,0-2,3-0,1-3,2-0,,2-1,1-1,2-2,0-4,0-2,0-2,2-1,1-1,1-1,1-1,2-0,1-3,2-1,3-1,1-3,3-1,1-1,2-2,,1-1,2007,42,40,.512,19.0,106.5,106.9,0.00,2007,Golden State Warriors,1,3-1,,1-1,3-1,,,,
9,Houston Rockets,1-1,1-1,,2-0,1-1,1-3,2-1,1-1,1-2,,1-1,3-1,2-2,2-0,2-0,2-2,2-0,2-0,2-0,2-0,1-3,2-2,3-0,2-2,3-0,1-1,1-3,,2-0,2007,52,30,.634,15.0,97.0,92.1,5.04,2007,Houston Rockets,1,4-0,,2-0,1-3,,,,
10,Indiana Pacers,3-1,3-1,,1-3,1-3,0-2,0-2,2-2,1-1,1-1,,1-1,1-1,2-2,4-0,0-2,0-4,2-1,2-2,2-2,0-2,2-0,0-2,1-1,0-2,1-2,0-2,,0-3,2007,35,47,.427,18.0,95.6,98.0,-2.62,2007,Indiana Pacers,0,2-0,,2-1,1-1,,,,
11,Los Angeles Clippers,0-2,2-0,,2-0,0-2,1-2,1-2,0-2,2-2,1-3,1-1,,2-2,2-0,2-0,1-2,1-1,1-1,1-1,2-0,2-2,3-1,2-2,0-4,2-2,0-2,1-3,,1-1,2007,40,42,.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers,0,3-0,,2-0,2-2,,,,
12,Los Angeles Lakers,2-0,2-0,,1-1,0-2,1-3,1-3,0-2,4-0,2-2,1-1,2-2,,1-1,0-2,3-1,2-0,0-2,2-0,1-1,1-3,1-2,3-1,2-1,3-1,1-1,2-1,,1-1,2007,42,40,.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers,1,2-2,,0-2,1-2,,,,
13,Memphis Grizzlies,0-2,1-1,,1-1,0-2,0-4,2-2,0-2,1-3,0-4,0-2,0-3,2-2,0-2,0-2,2-1,0-2,0-2,1-1,1-1,0-4,2-2,1-2,1-3,1-2,1-1,1-3,,1-1,2007,22,60,.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies,0,,,2-0,1-3,,,,
14,Miami Heat,4-0,2-1,,1-3,3-1,0-2,0-2,1-2,2-0,0-2,2-2,0-2,1-1,,2-1,2-0,3-1,1-3,0-4,1-3,0-2,2-0,2-0,1-1,2-0,2-1,2-0,,3-1,2007,44,38,.537,—,94.6,95.5,-1.21,2007,Miami Heat,1,2-0,,2-2,1-1,,,,
